StockID,StockName,Broker,NetBuy,TotalTrials,Successes,SuccessRate
2883,開發金,國票敦北,5008.0,1,0,0.0
2890,永豐金,群益,4395.94,4,2,0.5
2880,華南金,凱基,4272.768,9,1,0.1111111111111111
2892,第一金,群益,4058.0,4,0,0.0
1528,恩德,群益,3631.0,1,0,0.0
2317,鴻海,華南永昌,3568.255,5,3,0.6
2881,富邦金,凱基,3363.407,7,2,0.2857142857142857
2603,長榮,富邦,3163.894,6,4,0.6666666666666666
2887,台新金,台新建北,3000.2,2,0,0.0
2369,菱生,統一,2995.0,0,0,0.0
3711,日月光投控,港麥格理,2718.5,7,3,0.42857142857142855
3037,欣興,上海匯豐,2282.0,1,1,1.0
3037,欣興,美商高盛,2223.21,9,7,0.7777777777777778
2801,彰銀,富邦岡山,2222.0,3,0,0.0
2382,廣達,法銀巴黎,2130.0,3,0,0.0
3037,欣興,富邦新店,2100.536,5,1,0.2
2618,長榮航,港商法興,1911.0,6,1,0.16666666666666666
2313,華通,凱基台北,1874.1,7,0,0.0
3013,晟銘電,瑞銀,1873.0,8,4,0.5
8176,智捷,康和高雄,1848.0,1,0,0.0
2367,燿華,摩根大通,1840.0,7,4,0.5714285714285714
2888,新光金,元富城東,1837.315,6,1,0.16666666666666666
6405,悅城,群益,1793.0,2,2,1.0
3037,欣興,富邦,1726.661,7,5,0.7142857142857143
2486,一詮,瑞銀,1687.0,6,3,0.5
2399,映泰,摩根大通,1655.0,8,4,0.5
2609,陽明,富邦新店,1630.0,1,0,0.0
2881,富邦金,港商野村,1624.0,6,2,0.3333333333333333
5876,上海商銀,群益,1615.0,1,0,0.0
2363,矽統,永豐金,1581.089,4,2,0.5
1785,光洋科,美林證券,1509.0,2,0,0.0
2883,開發金,華南敦南,1485.0,7,4,0.5714285714285714
2618,長榮航,台灣匯立,1475.0,8,2,0.25
2495,普安,瑞銀,1450.0,0,0,0.0
2845,遠東銀,亞東,1409.05,2,0,0.0
2449,京元電子,元大忠鼎,1397.0,1,0,0.0
2201,裕隆,群益,1355.0,0,0,0.0
6197,佳必琪,凱基台北,1332.27,1,1,1.0
4956,光鋐,台灣摩根,1302.0,6,0,0.0
5871,中租-KY,上海匯豐,1299.155,3,0,0.0
2449,京元電子,上海匯豐,1265.0,1,0,0.0
2329,華泰,富邦,1249.0,0,0,0.0
2303,聯電,凱基桃園,1230.135,1,0,0.0
4716,大立,富邦嘉義,1196.0,0,0,0.0
2303,聯電,華南永昌,1167.461,3,1,0.3333333333333333
2845,遠東銀,兆豐,1119.0,1,1,1.0
2449,京元電子,港麥格理,1082.0,4,1,0.25
3376,新日興,元大,1067.998,2,1,0.5
5876,上海商銀,兆豐,1065.0,2,1,0.5
9105,泰金寶-DR,元大草屯,1052.2,0,0,0.0
9904,寶成,凱基台北,1045.112,5,1,0.2
3372,典範,元大士林,1021.0,0,0,0.0
2637,慧洋-KY,凱基站前,1018.0,0,0,0.0
2883,開發金,富邦二林,1009.136,3,2,0.6666666666666666
2888,新光金,華南敦南,999.8,3,0,0.0
5871,中租-KY,合庫,986.95,0,0,0.0
2486,一詮,凱基台北,984.99,9,5,0.5555555555555556
2885,元大金,統一,983.39,7,1,0.14285714285714285
2495,普安,凱基站前,969.94,0,0,0.0
2884,玉山金,元大中壢,964.933,0,0,0.0
3037,欣興,永豐內湖,954.375,0,0,0.0
5315,光聯,統一,927.997,0,0,0.0
2889,國票金,兆豐,925.0,3,1,0.3333333333333333
3037,欣興,康和,924.86,1,1,1.0
9904,寶成,群益,920.0,2,0,0.0
1528,恩德,富邦,916.0,1,0,0.0
6405,悅城,凱基台北,914.03,2,1,0.5
1802,台玻,玉山景美,911.0,1,0,0.0
2882,國泰金,台灣匯立,909.0,9,3,0.3333333333333333
1319,東陽,群益,908.0,0,0,0.0
2303,聯電,兆豐新竹,907.01,3,1,0.3333333333333333
9904,寶成,瑞銀,880.0,5,0,0.0
3481,群創,國泰綜合,876.257,2,1,0.5
2883,開發金,元富新店,876.05,0,0,0.0
8069,元太,摩根士丹利,864.0,4,0,0.0
9938,百和,港麥格理,859.0,1,0,0.0
3037,欣興,台新,858.824,1,1,1.0
3481,群創,統一敦南,857.208,0,0,0.0
3037,欣興,元富,854.093,0,0,0.0
2891,中信金,國票長城,849.0,2,0,0.0
2891,中信金,新光台中,842.558,4,0,0.0
3450,聯鈞,富邦,832.006,4,3,0.75
3189,景碩,台灣匯立,830.0,0,0,0.0
2324,仁寶,兆豐,827.0,2,1,0.5
3037,欣興,凱基信義,811.1,0,0,0.0
3037,欣興,國泰綜合,807.224,2,2,1.0
6005,群益證,花旗環球,806.4,3,1,0.3333333333333333
1528,恩德,統一,789.901,1,0,0.0
4938,和碩,美商高盛,775.538,6,3,0.5
6151,晉倫,國票安和,773.86,0,0,0.0
2345,智邦,台灣匯立,761.5,1,0,0.0
3231,緯創,港商野村,750.0,4,2,0.5
3231,緯創,永豐金,749.983,7,2,0.2857142857142857
